unit_id,sort,姓名,时间,地点,描述
C22,1,张申府,1913年,北京,考入北京大学理预科。
C22,2,张申府,1914年,北京,考入北京大学本科理科物理数学门，期间曾在哲学系学习两个月。
C22,3,张申府,1917年,北京,毕业后留校担任数学助教，期间经同学引荐结识了李大钊。
C22,4,张申府,1917年末,北京,协助李大钊（当时任北京大学图书馆馆长）搜集有关马克思学说的书籍和俄国十月革命的书刊，撰写《晨钟报》稿件。
C22,5,张申府,6727,北京,加入“少年中国学会”，与李大钊等人共同负责编辑《少年中国》月刊。
C22,6,张申府,6910,北京,与陈独秀、李大钊创办《每周评论》，担任刊物及《新青年》杂志编委；发表《问救世军》、《打仗的》、《中国的教育》、《鬼学》等文章。
C22,7,张申府,1918年末,北京,参加北京大学第一个学生社团“新潮社”成立活动。
C22,8,张申府,7061,北京,参加五四爱国运动。
C22,9,张申府,7122,北京,加入曦园“北京工读互助团”。
C22,10,张申府,7397,北京,多次协同李大钊与维经斯基（共产国际东方局代表）见面，商谈中国问题和建党事宜。
C22,11,张申府,7519,北京,留驻北京协助李大钊，与陈独秀分头进行党的筹建活动；同月以《少年中国》代表身份，参与“进步团体座谈会”。
C22,12,张申府,7580,北京,将张国焘发展加入，协同李大钊成立“北京共产主义小组”[1]，三人为小组最早成员。
C22,13,张申府,7611,法国巴黎,以蔡元培校长秘书身份前往巴黎，在里昂大学中国学院担任教师。
C22,14,张申府,7731,法国巴黎,在赴法勤工俭学学生中发展共产党员（刘清扬、周恩来），主导并成立“巴黎共产主义小组”[2]，出版《少年》杂志。
C22,15,张申府,8249,德国柏林,成立“中共旅欧总支部”，任总支书记兼中共中央驻柏林通讯员；期间协同周恩来将朱德发展入党；节译狄令格的《相对论大意》。
C22,16,张申府,8798,广州,取道苏联回中国，抵广州，在广州大学任教。
C22,17,张申府,8888,广州,参与黄埔军校的筹建工作，受孙中山任命为黄埔军校政治部副主任。
C22,18,张申府,9133,上海,在中共四大上因党纲问题争论，提出退党，结束党内政治生活；后发表《忆列宁》、《战斗唯物论的意义》、《关于费尔巴哈的提纲》等译文。
C22,19,张申府,1928年,上海,参与组织中国国民党临时行动委员会（中国农工民主党的前身）。
C22,20,张申府,11444,北京,任清华大学哲学系教授。
C22,21,张申府,1935年,北京,发起并领导“一二·九”爱国学生运动，参与抗日救亡运动。
C22,22,张申府,13150,北京,发起成立“北平文化界救国会”[3]，被推选为大会主席团成员和执行委员，后担任华北各界救国会的负责人。
C22,23,张申府,13271,北京,由冯玉祥将军保释出狱，但被清华大学解聘。
C22,24,张申府,13636,北京,与吴承仁等成立新启蒙学会，同年加入全国各界救国联合会。
C22,25,张申府,14062,武汉汉口,国民党召开国民参政会一届一次大会，受聘为第一届参政员。
C22,26,张申府,1941年,重庆,加入“中国民主政团同盟”。
C22,27,张申府,16316,北京,民主政团同盟更名为“中国民主同盟”（简称“民盟”），受任民盟中央常委兼文化工作委员会主任。
C22,28,张申府,16469,重庆,联合发表《对时局进言》，敦促成立民主联合政府。
C22,29,张申府,16803,重庆,作为民盟九位代表之一，出席政治协商会议。
C22,30,张申府,1948年末,香港,因坚持“第三条道路”，被民盟开除。
C22,31,张申府,1949年10月后,北京,就职于北京图书馆，从事学术研究、文献翻译和中外图书采编工作。
